link,type_of_food,title,description,author_name,cook_time,num_of_people,calories,num_of_ingredients,ingredients,step,note,post_date
https://vnexpress.net/doi-song-cooking-cach-muoi-dua-hanh-truyen-thong-4842499.html,Món Tết,Cách muối dưa hành truyền thống,"Dưa hành muối là món ăn truyền thống ngày Tết của người Việt, hỗ trợ tiêu hóa. Để muối dưa hành giòn ngon và trắng cần một số bí quyết.",Bùi Thủy,45 phút,8-10 người,459 kcal,5,"['1 kg hành củ tươi', 'Tro bếp hoặc nước vo gọa', 'Muối hạt, đường', 'Cà rốt trang trí (tùy chọn)', 'Lọ sạch']","['Bước 1: Chọn hành củ: Nên chọn hành củ ta bánh tẻ, vừa phải, cầm chắc tay, tròn căng mọng, màu sắc tươi đều (tím nhạt hoặc trắng). Tránh mua hành ấn vào mềm, chảy nước hoặc mốc là đã hỏng. Chỉ nên lựa củ vừa phải, không nên to quá.', ""Bước 2: Ngâm khử mùi hăng của hành: Theo kinh nghiệm dân gian và trong sách ''Thế vị tân biên'' xuất bản năm 1925 đề cập để khử hăng, giúp hành giòn và trắng nên ngâm với nước tro bếp 2 - 3 ngày. Có nhà dùng nước vo gạo ngâm cũng có tác dụng tương tự."", 'Bước 3: Nhặt rễ, ngâm nước muối: Dùng dao nhỏ sắc, cắt gần sát rễ (không cắt hết), bóc lớp vỏ già ngoài. Sau đó, ngâm hành vào nước muối loãng ngâm khoảng 30 phút. Việc này giúp khử hành bớt hăng và khử khuẩn để khi ngâm hành không bị nổi váng, úng nhớt. Nếu muốn tăng thêm màu sắc bắt mắt, tỉa thêm chút hoa cà rốt ngâm cùng.', 'Bước 4: Muối dưa hành: Pha 1 - 1,2 lít nước sôi để nguội với 3,5 - 4 thìa canh muối hạt, 1 thìa canh đường (giúp lên men nhanh), khuấy đều cho tan. Cho hành và cà rốt vào lọ thủy tinh sạch (lọ đã rửa sạch, trụng sơ nước sôi, để khô ráo). Dùng vỉ nén hoặc đĩa đè lên trên rồi đổ nước muối ngập mặt, để nơi thoáng mát. Sau khoảng 1 tuần là hành lên men, đem ra dùng được. Khi ăn, lấy thìa đũa sạch gắp với lượng theo bữa.', 'Bước 5: Yêu cầu thành phẩm: Hành muối trắng thơm, giòn ngon, vị chua dịu, cay nhẹ. Đây là món ăn giúp giải ngán và hỗ trợ tiêu hóa trong mâm cỗ ngày Tết cổ truyền dân tộc bên cạnh thịt thà, bánh chưng.']",[],"Thứ năm, 23/1/2025, 16:32 (GMT+7)"
https://vnexpress.net/doi-song-cooking-su-hao-xao-muc-4840299.html,Món Tết,Su hào xào mực - món cổ Tết Bát Tràng,"Đĩa xào khô ráo với su hào giòn ngọt quyện với mực mềm dai, ngọt tự nhiên. Đây là món ngày Tết cổ truyền của người dân làng gốm Bát Tràng, Hà Nội.",Bùi Thủy,50 phút,4 - 5 người,1.162 kcal,6,"['2 củ su hào non', '1 con mực khô', '1/2 củ cà rốt', 'Gia vị: Mắm, muối, đường, hạt tiêu, rượu trắng, gừng', 'Rau mùi trang trí', 'Mỡ lợn hoặc dầu ăn']","['Bước 1: Chọn và sơ chế mực: Người dân làng gốm kỳ công trong khâu lựa mực khô để có món su hào xào mực ngon. Nên chọn mực câu với lớp phần trắng nhẹ, lưng mực màu hồng tự nhiên, thân dày, thân và đầu dính chặt. Mực khô mua về đem ngâm với rượu trắng và gừng (có nhà dùng bia) để khử dịu mùi và làm mềm mực. Sau đó, bỏ phần râu, mảng cứng ở vỏ\xa0để ráo nước. Đem nướng mực cho thơm rồi gói giấy, dùng chày đập cho tách thớ rồi xé nhỏ. Việc này giúp khi xé nhỏ mực dễ dàng hơn.', 'Bước 2: Xé mực: Đây là công đoạn kỳ công và tỉ mỉ nhất. Mực sau khi nướng và đập, đem xé sợi nhỏ để khi xào su hào vẫn giữ hương vị đặc trưng, mềm dai và có vị ngon ngọt riêng.', 'Bước 3: Sao mực: Mực sau khi xé bông sợi đem sao vàng trên lửa nhỏ với chút mỡ lợn, nêm chút mắm truyền thống và đường để giữ vị ngọt tự nhiên. Chú ý không để lửa to làm sợi mực dai cứng, dễ bén cháy. Có nhà không sao mà đem ủ mực với chút gia vị để mực mềm rồi đem trộn su hào trước khi xào.', 'Bước 4: Sơ chế su hào, cà rốt: Su hào, cà rốt gọt vỏ, thái chân hương rồi chần nhanh qua nồi nước thêm chút muối. Vớt nhanh ra cho vào âu nước lạnh rồi cho vào khăn mặt sạch vắt ráo vài ba lần. Nên tách su hào và cà rốt ra để không bị loang màu thì đĩa xào đẹp hơn. Việc này giúp su hào khi xào giòn, không bị ướt gây tanh mực. Đem trộn su hào và 2/3 lượng mực cho đều nhau, nêm nếm chút gia vị. Giữ lại 1/3 số mực để trang trí trên đĩa thành phẩm.', 'Bước 5: Chuẩn bị các nguyên liệu khác: Mỡ lợn tạo hương thơm và vị béo đặc trưng, chút rau mùi trang trí. Hành khô thái lát mỏng.', 'Bước 6: Xào su hào và mực: Phi thơm mỡ lợn, trút su hào trộn mực vào xào, đảo đều tay trên lửa vừa. Sau vài phút, su hào chín tới giòn ngọt, nêm nếm lại gia vị, rắc chút hạt tiêu và gắp ra đĩa, trang trí lên trên ph ần mực còn lại và vài nhánh mùi là hoàn thiện.', 'Bước 7: Yêu cầu thành phẩm: Đĩa xào khô ráo với su hào giòn ngọt quyện với mực mềm dai, ngọt tự nhiên. Đây là món ngày Tết cổ truyền của người dân làng gốm Bát Tràng, Hà Nội']","['Su hào xào mực cùng với canh măng mực là hai món không thể thiếu trong mâm cỗ dịp lễ Tết của Bát Tràng. Cách làm su hào xào mực khác với món mực thượng thang (nấu rối), mực nấu su hào của người dân phố cổ Hà Nội.', 'Chần su hào nhanh để giữ độ giòn ngọt, không chần lâu quá chín gây mềm nát, cũng không nhanh quá còn vị ngai ngái.', 'Su hào, cà rốt thái chân hương dài giữ độ giòn, không bào sợi dễ làm nát gãy, kém vị.', 'Ngày trước, người dân làng gốm thường chần su hào, cà rốt rồi vắt khô ráo bằng khăn. Hiện nay, nhiều gia đình có máy vắt nước khá tiện lợi.', 'Tùy theo khẩu vị mỗi nhà, có nhà sao mực vàng cùng chút mắm và đường; có nhà lại ủ mực để giữ độ mềm ngọt.']","Thứ sáu, 17/1/2025, 17:24 (GMT+7)"
https://vnexpress.net/doi-song-cooking-canh-mang-ngay-tet-co-truyen-ha-noi-4839393.html,Món Tết,Canh măng ngày Tết cổ truyền Hà Nội,"Măng ngấu vị, giòn ngon, móng giò hầm vừa độ sần sật, nước canh ngọt tự nhiên. Đây là một trong những món canh tứ trụ trong cỗ Tết cổ truyền Hà Nội xưa.",Bùi Thủy,100 phút,8 - 10 người,4.930 kcal,6,"['800 gr măng khô', '2 móng giò lợn', 'Nước dùng (gà hoặc ninh xương lợn)', 'Hành khô, hành củ', 'Gia vị: Nước mắm truyền thống, muối', 'Nước vo gạo ngâm măng']","['Bước 1: Chọn măng khô: Theo lối cũ, người nội trợ Hà thành thường dùng măng lưỡi lợn nấu đậm miếng, giòn sần sật. Chọn măng lưỡi lợn màu hổ phách nhẹ, dày thịt, sờ vào khô ráo, mùi thơm tự nhiên. Tránh mua măng màu bóng loáng hoặc xỉn màu, lốm đốm mốc, mềm nhũn, sờ tay dính nhớt bất thường là măng để lâu bị hỏng.', 'Bước 2: Ngâm măng: Để có nồi canh măng ngon cần phải ngâm măng ngậm no nước, nở mềm, loại bỏ bớt độc tố để khi nấu thấm trọn vị ngon ngọt từ nước dùng. Tùy vào tuổi măng mà thời gian ngâm khác nhau. Thông thường, măng lưỡi lợn cần ngâm 4 - 5 ngày với nước vo gạo ngày thay 2 lần (tận dụng nước vo gạo khi nấu cơm). Nước vo gạo vừa giúp khử mùi, loại bỏ bớt độc tố, nhanh mềm và trắng hơn. Khi nào thấy nước ngâm măng trong, bấm tay vào đầu miếng măng thấy mềm là được. Không dùng nước vôi trong ngâm vì phá hỏng vị đặc trưng của măng.', 'Bước 3: Luộc măng: Trong măng tươi và măng khô chứa nhiều độc tố cyanide vì thế ngoài việc ngâm\xa0cần luộc kỹ 4 - 5 lần, mỗi lần 4 - 5 phút, chú ý mở vung để bay bớt độc tố. Mỗi lần luộc xong tắt bếp, ủ một lúc rửa sạch lại luộc tiếp cho tới khi nước luộc trong, măng ngả sang vàng nhạt, nở to dài hơi khum như lưỡi lợn là được. Rửa kỹ măng, cắt bỏ phần gốc cứng và xơ rồi dùng dao sắc, nghiêng thái vát đều nhau.', 'Bước 4: Nấu nước dùng: Tận dụng nước luộc gà ngày Tết nấu canh măng hoặc hầm xương lợn, xương gà cùng phần cổ, cánh cũng tạo độ dẻo và ngọt sâu cho bát canh.', ""Bước 5: Nguyên liệu ''đồ thêm'': Phổ biến nhất là canh măng nấu với móng giò, thêm chút thịt ba chỉ cắt miếng vuông (tùy chọn). Ở một số tỉnh miền Bắc khác nấu canh măng với thịt gà, xương sườn, bắp bò cũng ngon. Móng giò cạo sạch, chần sơ, rửa sạch khi ninh cùng nước dùng trong hơn."", 'Bước 6: Xào măng: Trút măng đã sơ chế vào chảo xào cùng mỡ gà (hoặc phần váng mỡ nước dùng gà), thêm chút nước mắm ngon cho dậy vị. Chú ý xào lửa vừa, đảo đều tay, tránh xào lửa to dễ tạo vị khét.\xa0Măng cần xào kỹ, xào lâu mới ngấm gia vị sâu được. Nếu muốn nồi canh măng để được lâu không xào hành vì măng nhanh thiu.', 'Bước 7: Chuẩn bị các nguyên liệu khác: Trong lúc chờ xào măng, chuẩn bị chút miến dong rửa sạch, để ráo nước; hành củ nếu to chẻ hoa; rau mùi rửa sạch.', 'Bước 8: Nấu canh măng: Cho nước dùng đã\xa0lọc vào phần măng xào rồi om lửa nhỏ, mở vung để măng ngấm trọn vị ngọt ngon. Cho móng giò, thịt ba chỉ vào hầm cùng, ninh lửa nhỏ, thỉnh thoảng hớt bỏ bọt để nồi canh có độ trong. Khi măng ngấu vị, móng giò giòn mềm sần sật nêm nếm lại gia vị cho vừa miệng là hoàn thiện. Gắp móng giò xếp dàn ra, xung quanh là măng, ở giữa để miếng ba chỉ, chần nhanh chút miến dong vắt lên, thêm hành hoa chần rồi múc nước canh nóng chan vào là hoàn thiện.', 'Bước 9: Yêu cầu thành phẩm: Bát canh măng thu hút bởi măng ngấu vị, mềm mướt, giòn ngon, móng giò hầm chín vừa độ sần sật, nước canh ngọt tự nhiên. Đây là một trong những món canh tứ trụ trong cỗ Tết cổ truyền Hà Nội xưa.']","['Nếu tận dụng nước luộc gà nấu canh măng thì khi luộc không cho gừng dễ phá vị bát măng.', 'Hiện nay, măng lưỡi lợn khá hiếm và sơ chế cầu kỳ, một số nhà thay bằng các loại măng khác tùy khẩu vị. Nếu thích măng vừa giòn vừa mềm chọn măng mầm. Nếu thích măng vừa mềm mướt lại giòn và ngấu vị chọn măng nứa. Nếu muốn giòn dai chọn măng lá.', ""Nấu canh măng nên nấu ''2 lần lửa'' sẽ ngon hơn (lửa 1 xào kỹ măng và lửa 2 hầm lửa nhỏ với nước dùng và nguyên liệu kèm theo).""]","Thứ tư, 15/1/2025, 19:00 (GMT+7)"
https://vnexpress.net/doi-song-cooking-gia-hanh-nhan-4835734.html,Món Tết,Giả hạnh nhân - món ngon Tết xưa Hà Nội,"Đây là món ăn cổ truyền thường thấy trong cỗ Tết của các gia đình phố cổ, vừa toát lên sự tinh tế, ý nhị vừa thể hiện được tinh thần tiết kiệm, sáng tạo của người Hà Nội xưa.",Bùi Thủy,60 phút,4-5 người,1.112 kcal,8,"['2 bộ lòng mề gà', '100 gr lạc', '50 gr hạt đậu Hà Lan', '1/2 củ su hào', '1/2 củ đậu', '1/2 củ cà rốt', 'Gia vị: Mắm, muối, hạt tiêu, hành khô', 'Mỡ lợn']","['Bước 1: Chọn và sơ chế lạc: Chọn lạc khô chắc, đều hạt, tròn mẩy, vỏ lụa căng mịn. Nếu mua được lạc cúc đỏ sẫm, hạt nhỏ, chắc thơm càng ngon. Lạc đem ngâm nước lạnh 30 phút cho vỏ lụa mềm bong ra rồi bóc bỏ, để ráo nước.', 'Bước 2: Rang lạc và chao qua mỡ: Lạc đem rang ở lửa nhỏ cho vàng thơm. Một bí quyết riêng ít người biết là để giúp lạc vàng bóng, để lâu vẫn giòn ngon là sau khi rang sẽ nhanh tay chao qua mỡ nóng, vớt ra để ráo trước khi xào.', 'Bước 3: Sơ chế lòng gà: Vào ngày Tết, các nhà thường làm gà lễ, gà trên các mâm cỗ nên dư nhiều lòng mề gà. Tận dụng phần này, các bà nội trợ Hà Nội đã tinh tế chế biến món xào giả hạnh nhân vừa sang lại đẩy đưa vị giác. Lòng mề gà bóp muối hạt, rửa sạch, rồi đem luộc qua (tiết luộc ở lửa nhỏ và lâu hơn cho chín) rồi rửa sạch lại, thái hạt lựu đều tay, ướp với chút mắm, muối hạt tiêu cho thấm vị.', ""Bước 4: Chuẩn bị các nguyên liệu khác: Nguyên liệu giả hạnh nhân xào tùy theo mỗi nhà tận dụng các ''đầu thừa'' từ củ quả của món canh bóng thả, dưa góp như su hào, củ đậu, cà rốt, đậu Hà Lan, ớt chuông xanh đỏ... đem thái hạt lựu đều nhau."", 'Bước 5: Chần sơ củ quả: Đun sôi nồi nước, thêm chút muối rồi cho củ quả lần lượt vào chần nhanh, rồi vớt ra ngâm vào bát nước lạnh cho giòn và giữ màu sắc xanh tươi. Khi nguội, vớt ra để riêng cho ráo nước.', 'Bước 6: Phi thơm 1/2 lượng hành khô với mỡ lợn, trút lòng mề gà vào xào chín, múc ra để riêng. Phi thơm hành khô còn lại, lần lượt cho thứ tự củ quả lâu chín vào trước, còn nhanh chín vào sau: Cà rốt, su hào rồi tới củ đậu, đậu Hà Lan. Nêm nếm gia vị cho vừa miệng rồi đảo đều. Trút lòng mề gà đã xào vào đảo nhanh cho thấm vị. Cuối cùng cho 1/2 lạc vào đảo đều, thêm đầu hành củ hoặc gốc hành hoa (tùy chọn). Tắt bếp múc ra rồi rắc lạc còn lại lên trên, thêm vài nhánh rau mùi và thưởng thức.', 'Bước 7: Yêu cầu thành phẩm: Đĩa giả hạnh nhân xào bắt mắt bởi nhiều sắc màu xen kẽ đậu Hà Lan xanh tươi, cà rốt vàng cam, su hào xanh nhạt, củ đậu trắng giòn cùng mề gà nâu nhạt, tiết tím sẫm, gan vàng mơ. Khi ăn lòng gà giòn sần sật, béo bùi, lạc rang giòn thơm, củ quả giòn ngọt khá bắt vị.']","['Hạnh nhân xào (hay giả hạnh nhân) là món ăn cổ truyền thường thấy trong cỗ Tết của các gia đình phố cổ Hà Nội xưa. Theo lối cũ, các bà các mẹ thường sử dụng lạc rang v à chao mỡ rồi xào củ quả dư ngày Tết , sau những năm thập niên 90 thế kỷ trước thì nhiều nhà sử dụng hạt hạnh nhân ho ặc hạt điều tùy chọn .', ""Trong cuốn ''Sách nấu thức ăn'' do Nguyễn Văn Niệm biên soạn in tại nhà in Chân Phương 30 Phố Hàng Mành, Hà Nội năm 1932 đề cập món hạnh nhân xào còn có tiếng Tàu là ''Hày nhần cáy téng''. Cách làm như sau: Hạnh nhân ngâm nửa tiếng, đem bóc vỏ, để ráo nước, chao mỡ nóng già cho chín vàng đều. Thịt nạc gà thái hạt lựu ướp với chút gia vị. Chân tẩy gồm măng, mướp, hành tây, nấm hương, đậu Hà Lan cũng thái hạt lựu. Phi thơm hành mỡ xào thịt gà chín, cho các chân tẩy vào xào, nêm nếm gia vị cho vừa miệng, múc ra cho hạnh nhân, vài nhánh rau mùi, rắc hạt tiêu lên trên."", 'Về tên gọi hạnh nhân xào, có người cho rằng vì có nguyên liệu hạt hạnh nhân (hoặc giả hạnh nhân như lạc, hạt điều). Cũng có ý kiến cho rằng, nhiều món ăn Hà Nội bắt nguồn từ cách thức thực hiện, sơ chế. Do các nguyên liệu món ăn này đều thái hạt cỡ như hạt lạc (lạc nhân/hạnh nhân) là cách thái vuông sau khi thái con chì.', ""Nguyên liệu món hạnh nhân xào không bó buộc trong khuôn mẫu nào mà tận dụng các ''đầu thừa đuôi thẹo'' từ các món khác ngày Tết. Món ăn thoát lên sự khéo léo, tinh tế và tiết kiệm của người Hà thành.""]","Thứ ba, 7/1/2025, 17:31 (GMT+7)"
https://vnexpress.net/doi-song-cooking-cha-bi-ot-xiem-xanh-4834169.html,Món Tết,Chả bì ớt xiêm xanh,"Chả bì bóng đẹp, gói đều tay. Khi ăn vị ngọt mềm xen kẽ sần sật, dậy mùi thơm và vị the cay từ ớt xiêm xanh, hạt tiêu. Món ăn này nhâm nhi ngày Tết rất hợp vị, lại dễ làm.",Bùi Thủy,60 phút,5-6 người,2.512 kcal,6,"['500 gr giò sống', '300 gr bì lợn', '20 - 30 gr ớt xiêm xanh', 'Gia vị: Mắm cốt, mì chính (tùy chọn), hạt tiêu sọ, hành khô', 'Muối, chanh, gừng để sơ chế bì', 'Lá chuối gói']","['Bước 1: Chọn và sơ chế bì lợn, chuẩn bị giò sống: Chọn phần bì thăn liền khối, cạo sạch lông, chà xát chanh và muối hạt rửa sạch. Giò sống bán sẵn\xa0đã nêm gia vị nên không cần tẩm ướp thêm. Nếu không có giò sống, dùng thịt mông còn tươi, đem xay cùng đá lạnh cho đến khi nhuyễn.', 'Bước 2: Luộc và thái bì: Cho bì vào ngập trong nồi nước, thêm nhánh gừng nhỏ đập dập, hành khô, nêm 1/2 thìa cà phê muối, 1 thìa\xa0canh giấm đun sôi, hớt bỏ bọt, hạ lửa nhỏ rồi luộc bì lợn chín (thử xiên tre qua) là được. Vớt bì lợn ra ngâm vào nước sôi để nguội kèm đá lạnh sạch giúp trắng giòn. Sau đó, lạng bỏ mỡ trong bì nếu có rồi nghiêng dao thái bì thành các sợi nhỏ.', 'Bước 3: Chuẩn bị các nguyên liệu khác: Ớt xiêm xanh rửa sạch, để ráo nước, bỏ cuống. Điều chỉnh lượng ớt cay nhiều hay ít thì theo khẩu vị. Hành khô bóc vỏ băm nhỏ (một số nơi cho tỏi), hạt tiêu rọ sang thơm.', 'Bước 4: Trộn đều bì và giò sống: Bóp trước bì lợn với chút mắm, mì chính (tùy chỉnh) bọc màng bọc thực phẩm cho vào ngăn mát tủ lạnh tầm 10 phút cho thấm vị. Sau đó, cho giò sống cùng với tỏi, hành khô, hạt tiêu, ớt xiêm xanh vào âu to cùng với bì lợn, nêm chút nước mắm cốt, mì chính (tùy chọn) rồi trộn, quết đều cho tới khi thành khối dẻo đều, để tủ lạnh tầm 30 phút cho dễ gói. Lấy ra chia thành lượng vừa đủ cho vào màng bọc thực phẩm định hình rồi mới gói vào lá chuối sạch (đã hơ hoặc chần qua cho mềm, lau khô, phết chút mỡ) gói lại và buộc chặt thuôn tròn đều như gói bánh tét dài.', 'Bước 5: Hấp chả bì: Đun sôi chõ hấp, cho chả bì vào hấp ở lửa nhỏ. Thỉnh thoảng khi hấp mở ra xả hơi và tiếp tục đậy lại hấp. Sau 40 - 45 phút là chả chín, tùy kích thước to hay nhỏ. Vớt chả bì ra để nguội, nếu làm nhiều cho vào ngăn mát tủ lạnh. Khi ăn, bóc vỏ, cắt miếng tròn vừa ăn.', 'Bước 6: Yêu cầu thành phẩm: Chả bì bóng đẹp, gói đều tay. Khi ăn vị ngọt mềm xen kẽ sần sật, dậy mùi thơm và vị the cay từ ớt xiêm xanh, hạt tiêu. Món ăn này nhâm nhi ngày Tết rất hợp vị lại dễ làm.']","['Nên sơ chế kỹ bì lợn để chả được thơm. Tùy theo khẩu vị nếu thích giòn sần sật nhiều thì tăng lượng bì lên theo tỷ lệ giò sống, bì là 1:1.', 'Gói chặt tay và đều nhau để chả bì cắt ra tròn đẹp mắt.', 'Khi hấp để lửa nhỏ vừa, không để nhiệt to quá làm chả bì bị rỗ.', 'Tùy theo khẩu vị thích ăn cay nhiều hay ít mà điều chỉnh lượng ớt xiêm xanh cũng như hạt tiêu sọ rang.']","Thứ ba, 31/12/2024, 18:00 (GMT+7)"
https://vnexpress.net/doi-song-cooking-moc-dong-mon-ngon-tet-ha-noi-xua-4832776.html,Món Tết,Mọc đông - món ngon Tết Hà Nội xưa,"Bát mọc đông trong veo nổi rõ từng viên mọc trắng hồng điểm xuyết mộc nhĩ, nấm hương giòn sần sật, vị thanh mát vừa vặn. Đây là món ngon dịp Tết của người Hà thành.",Bùi Thủy,45 phút,4-6 người,1.032 kcal,8,"['300 gr giò sống', '200 gr nạc vai', '200 gr bì thăn', '50 gr mộc nhĩ', '30 gr nấm hương', '4 - 5 chân gà (tùy chọn)', '2 cái xương bay (nấu nước dùng)', 'Gia vị: Mắm, muối, hạt tiêu, hành khô']","['Bước 1: Làm mọc: Mộc nhĩ, nấm hương ngâm nở, rửa sạch, để ráo nước rồi thái nhỏ. Hành khô bóc vỏ, băm nhỏ. Chọn phần thịt nạc vai có dắt mỡ khi làm mọc thơm ngon mà không bị khô. Thịt đem băm nhuyễn hoặc xay sơ. Để tạo độ kết dính cho viên mọc\xa0bạn có thể dùng thêm giò sống hoặc\xa0cho thêm chút bì lợn luộc thái nhỏ (còn gọi là bì đẩy). Cho tất cả vào tô, nêm chút mắm, hạt tiêu trộn đều cho thấm vị. Đeo găng tay đảo\xa0liên tục để nhân hòa quyện đều thành khối kết dính, dẻo dai. Dùng thìa lấy lượng vừa đủ rồi vo tròn từng viên mọc, làm lần lượt cho tới hết.', 'Bước 2: Sơ chế bì lợn, chân gà: Để tạo kết dính giúp mọc đông nên dùng bì thăn cạo hết lông, bóp muối, rửa sạch. Có nhà dùng thêm chân để tạo độ kết dính và có vị ngọt thanh (tùy chọn).', 'Bước 3: Ninh nước dùng và bì thăn: Xương lợn ngâm nước muối loãng, chần sơ cùng chút gừng, hành cho thơm, rửa sạch rồi cho vào ninh nước dùng tạo vị ngọt tự nhiên. Bì lợn, chân gà sơ chế sạch cho vào ninh cùng, nêm chút muối hạt. Khi nước sôi trở lại, hớt bỏ bọt, mở vung và nấu ở lửa nhỏ để nước dùng được thanh trong và ngọt tự nhiên. Lửa liu riu cũng giúp chiết xuất collagen chuyển hóa từ từ thành gelatin, chất keo giúp kết dính và đông lại trong như thạch. Phần mỡ trên bề mặt hớt dùng cho món xào măng. Sau khi ninh, lọc bỏ xương lấy nước trong.', 'Bước 4: Luộc mọc: Nhẹ nhàng cho từng viên mọc vào nồi nước dùng nấu ở lửa nhỏ. Khi mọc nổi lên bề mặt là đã chín, vớt ra để riêng. Phần nước dùng hớt bỏ bớt váng mỡ nếu có (tùy chọn), nêm nếm lại chút gia vị.', 'Bước 5: Làm đông mọc: Gắp mọc bày ra các bát sâu lòng tròn, nếu thích hạt tiêu thì cho một chút rồi múc nước ngập mặt để nguội rồi bọc màng bọc thực phẩm hoặc đậy nắp cho vào ngăn mát tủ lạnh. Sau nửa ngày hoặc để qua đêm là mọc đông lại, mang ra thưởng thức. Khi ăn, úp bát thịt đông ra đĩa, rưới chút mắm truyền thống hạt tiêu ớt.', 'Bước 6: Yêu cầu thành phẩm: Bát mọc đông trong veo nổi rõ từng viên mọc trắng hồng điểm xuyết mộc nhĩ, nấm hương. Khi ăn cảm nhận thịt ngọt mềm xen kẽ mộc nhĩ giòn sần sật, vị thanh mát vừa vặn. Đây là món ngon vào dịp Tết xưa của người dân Hà thành.']","['Mọc nấu vừa chín tới để giữ độ giòn, không nấu lâu khiến mọc bị khô bã.', 'Khi nấu nước dùng và bì lợn, chân gà cần ninh ở lửa nhỏ, mở vung để nhằm phân rã các kết cấu collagen từ sụn, dây chằng ở trong xương thành gelatin, không bị đục nước, giàu hương vị.', 'Món mọc đông, thịt đông, gà nấu đông miền Bắc và Hà Nội nói chung nên nêm nếm hơi nhạt vì mặn sẽ khó đông. Khi ăn, rưới nước mắm truyền thống thêm ớt, hạt tiêu giúp tôn vị nhau lên.', 'Cho lượng bì thăn vừa đủ, khi nấu nhừ tạo gelatin keo kết dính, không cho nhiều quá làm thịt đông bị cứng.']","Thứ sáu, 27/12/2024, 17:30 (GMT+7)"
https://vnexpress.net/doi-song-cooking-chao-chan-gio-mon-ngon-tet-vung-ha-nam-ninh-4709895.html,Món Tết,Cách làm chạo chân giò - món ngon Tết vùng Hà Nam Ninh,"Đây là món ngon nổi tiếng giúp giải ngấy ngày Tết của vùng Hà Nam, Nam Định, Ninh Bình. Đĩa chạo chân giò cuốn hút bởi bì giòn thơm, thịt ngọt mềm, khế chua, thơm mùi riềng sả.",Bùi Thủy,45 phút,4-5 người,915 kcal,9,"['500 gr thịt chân giò', '4 cây sả', '4 tép tỏi', '2 quả ớt', '1 nhánh riềng bánh tẻ', '1 nhánh gừng', '1 quả xoài chua xanh', 'Gia vị: Mắm ngon, muối, mì chính, hạt tiêu, tương bần', 'Ăn kèm: lá sung, đinh lăng, lá mơ, rau thơm (tùy chọn)']",[],[],"Thứ tư, 7/2/2024, 15:42 (GMT+7)"
https://vnexpress.net/doi-song-cooking-nem-ran-kieu-truyen-thong-mien-bac-4709469.html,Món Tết,Cách làm nem rán kiểu truyền thống miền Bắc,"Từng chiếc nem rán bên ngoài vàng ruộm, giòn tan mà nhân bên trong vẫn giữ vị mềm ngọt từ thịt, tươi giòn từ rau củ. Đây là món ăn truyền thống trong dịp Tết cổ truyền của dân tộc.",Bùi Thủy,65 phút,8-10 người,2.517 kcal,13,"['500 gr thịt nạc vai', '200 gr giá đỗ', '2 lòng đỏ trứng gà', '2 tai mộc nhĩ khô', '1 nắm miến dong', '1 nắm hành hoa', '1 củ hành tây', '1 củ đậu (hoặc su hào)', '1/2 củ cà rốt', 'Hành khô, vài cánh nấm hương, rau thơm khác (tùy chọn)', 'Gia vị: mắm, muối, đường, mì chính, hạt tiêu, giấm hoặc chanh', 'Bánh đa nem', 'Dầu ăn']",[],[],"Thứ ba, 6/2/2024, 19:00 (GMT+7)"
https://vnexpress.net/doi-song-cooking-goi-gio-mo-4708130.html,Món Tết,Cách gói giò mỡ - đặc sản Tết Thái Bình,"Giò nây còn có tên gọi khác như giò mỡ, giò thúc là món ngon truyền thống dùng tiếp đãi khách quý vào dịp lễ Tết của người dân Thái Bình.",Bùi Thủy,480 phút,8-10 người,3.900 kcal,5,"['1,5 kg thịt ba chỉ liền khối', '5 củ hành khô', '1 nhánh gừng nhỏ', 'Gia vị: Mắm, muối, mì chính, hạt tiêu', 'Lá chuối, lạt giang, mo cau (tùy chọn)']",[],[],"Thứ sáu, 2/2/2024, 19:00 (GMT+7)"
https://vnexpress.net/doi-song-cooking-thit-kho-hot-vit-truyen-thong-mien-tay-4707556.html,Món Tết,Cách làm thịt kho hột vịt truyền thống miền Tây,"Đây là món ăn không thể thiếu trong cỗ Tết của người dân Nam Bộ và miền Tây. Thịt vuông kết hợp trứng tròn biểu tượng cho âm dương hài hòa, năm mới đủ đầy sung túc.",Bùi Thủy,100 phút,6-8 người,2.637 kcal,6,"['1 kg thịt ba rọi (ba chỉ rút sườn)', '10 quả trứng vịt', 'Nước dừa tươi', 'Lá chuối', 'Hành, tỏi, ớt chín', 'Gia vị: Mắm, muối, đường, bột ngọt, chanh']",[],[],"Thứ năm, 1/2/2024, 19:00 (GMT+7)"
